2026-04-27 13:00:41 | Lux: 55.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:42 | Lux: 65.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:42 | Lux: 65.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:43 | Lux: 69.17 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:43 | Lux: 69.17 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:44 | Lux: 69.17 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:44 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:45 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:45 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:46 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:46 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:47 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:47 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:48 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:48 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:49 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:49 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:50 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:51 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:51 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:52 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:52 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:53 | Lux: 69.17 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:53 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:54 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:54 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:55 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:55 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:56 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:56 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:57 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:57 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:58 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:58 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:59 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:00:59 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:00 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:00 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:01 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:02 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:02 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:03 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:03 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:04 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:04 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:05 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:05 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:06 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:06 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:07 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:07 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:08 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:08 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:09 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:09 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:10 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:10 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:11 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:12 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:12 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:13 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:13 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:14 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:14 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:15 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:15 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:16 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:16 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:17 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:17 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:18 | Lux: 71.67 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:18 | Lux: 71.67 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:19 | Lux: 71.67 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:19 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:20 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:20 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:21 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:21 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:22 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:23 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:23 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:24 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:24 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:25 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:25 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:26 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:26 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:27 | Lux: 71.67 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:27 | Lux: 74.17 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:28 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:28 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:29 | Lux: 68.33 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:29 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:30 | Lux: 76.67 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:30 | Lux: 71.67 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:31 | Lux: 71.67 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:31 | Lux: 70.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:32 | Lux: 71.67 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:33 | Lux: 71.67 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:33 | Lux: 72.50 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:34 | Lux: 73.33 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:34 | Lux: 74.17 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:35 | Lux: 74.17 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:35 | Lux: 75.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:36 | Lux: 75.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:36 | Lux: 75.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:37 | Lux: 75.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:37 | Lux: 75.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:38 | Lux: 75.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:38 | Lux: 73.33 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:39 | Lux: 72.50 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:39 | Lux: 70.00 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:40 | Lux: 66.67 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:40 | Lux: 65.83 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:41 | Lux: 72.50 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:41 | Lux: 74.17 lx | Brightness: 200/200 | Percent: 100.00%
2026-04-27 13:01:42 | Lux: 73.33 lx | Brightness: 200/200 | Percent: 100.00%
