2026-04-27 12:11:03 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:04 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:06 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:07 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:08 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:09 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:11 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:12 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:13 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:14 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:15 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:17 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:18 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:19 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:20 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:22 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:23 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:24 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:25 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:26 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:28 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:29 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:30 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:31 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:33 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:34 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:35 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:36 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:38 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:39 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:40 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:41 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:42 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:44 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:45 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:46 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:47 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:49 | Lux: 30.83 lx | Light: 3.08%
2026-04-27 12:11:50 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:51 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:52 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:53 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:55 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:56 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:11:57 | Lux: 29.17 lx | Light: 2.92%
2026-04-27 12:11:58 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:00 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:01 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:02 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:03 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:04 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:06 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:07 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:08 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:09 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:11 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:12 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:13 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:14 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:15 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:17 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:18 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:19 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:20 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:22 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:23 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:24 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:25 | Lux: 30.83 lx | Light: 3.08%
2026-04-27 12:12:26 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:28 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:29 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:30 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:31 | Lux: 30.83 lx | Light: 3.08%
2026-04-27 12:12:33 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:34 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:35 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:36 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:37 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:39 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:40 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:41 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:42 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:44 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:45 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:46 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:47 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:49 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:50 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:51 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:52 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:53 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:55 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:56 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:57 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:12:58 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:00 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:01 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:02 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:03 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:04 | Lux: 30.83 lx | Light: 3.08%
2026-04-27 12:13:06 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:07 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:08 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:09 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:11 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:12 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:13 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:14 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:15 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:17 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:18 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:19 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:20 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:22 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:23 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:24 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:25 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:26 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:28 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:29 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:30 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:31 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:33 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:34 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:35 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:36 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:37 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:39 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:40 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:41 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:42 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:13:44 | Lux: 29.17 lx | Light: 2.92%
2026-04-27 12:13:45 | Lux: 29.17 lx | Light: 2.92%
2026-04-27 12:13:46 | Lux: 26.67 lx | Light: 2.67%
2026-04-27 12:13:47 | Lux: 28.33 lx | Light: 2.83%
2026-04-27 12:13:48 | Lux: 8.33 lx | Light: 0.83%
2026-04-27 12:13:50 | Lux: 115.83 lx | Light: 11.58%
2026-04-27 12:13:51 | Lux: 144.17 lx | Light: 14.42%
2026-04-27 12:13:52 | Lux: 110.83 lx | Light: 11.08%
2026-04-27 12:13:53 | Lux: 78.33 lx | Light: 7.83%
2026-04-27 12:13:55 | Lux: 132.50 lx | Light: 13.25%
2026-04-27 12:13:56 | Lux: 87.50 lx | Light: 8.75%
2026-04-27 12:13:57 | Lux: 58.33 lx | Light: 5.83%
2026-04-27 12:13:58 | Lux: 20.00 lx | Light: 2.00%
2026-04-27 12:14:00 | Lux: 20.00 lx | Light: 2.00%
2026-04-27 12:14:01 | Lux: 20.00 lx | Light: 2.00%
2026-04-27 12:14:02 | Lux: 20.00 lx | Light: 2.00%
2026-04-27 12:14:03 | Lux: 20.00 lx | Light: 2.00%
2026-04-27 12:14:04 | Lux: 20.00 lx | Light: 2.00%
2026-04-27 12:14:06 | Lux: 20.00 lx | Light: 2.00%
2026-04-27 12:14:07 | Lux: 20.00 lx | Light: 2.00%
2026-04-27 12:14:08 | Lux: 19.17 lx | Light: 1.92%
2026-04-27 12:14:09 | Lux: 20.00 lx | Light: 2.00%
2026-04-27 12:14:11 | Lux: 20.00 lx | Light: 2.00%
2026-04-27 12:14:12 | Lux: 20.00 lx | Light: 2.00%
