time_s,ay_raw,ay_g
0.000910,-352,-0.021484
0.052789,-388,-0.023682
0.104605,-400,-0.024414
0.156272,-580,-0.035400
0.208069,-472,-0.028809
0.259854,-372,-0.022705
0.311519,-444,-0.027100
0.363219,-372,-0.022705
0.415017,-392,-0.023926
0.466810,-472,-0.028809
0.518635,-332,-0.020264
0.570566,-288,-0.017578
0.622429,-424,-0.025879
0.674140,-416,-0.025391
0.725852,-384,-0.023438
0.777629,-404,-0.024658
0.829373,-340,-0.020752
0.881048,-396,-0.024170
0.932883,-392,-0.023926
0.984532,-452,-0.027588
1.036320,-400,-0.024414
1.088194,-396,-0.024170
1.139960,-444,-0.027100
1.191552,-288,-0.017578
1.243332,-440,-0.026855
1.294839,-420,-0.025635
1.346587,-396,-0.024170
1.398408,-408,-0.024902
1.450155,-372,-0.022705
1.502020,-344,-0.020996
1.553499,-336,-0.020508
1.605377,-380,-0.023193
1.657156,-376,-0.022949
1.708917,-352,-0.021484
1.760710,-296,-0.018066
1.812433,-344,-0.020996
1.864183,-380,-0.023193
1.915962,-388,-0.023682
1.967700,-388,-0.023682
2.019685,-56,-0.003418
2.071392,-444,-0.027100
2.123244,-332,-0.020264
2.174990,-444,-0.027100
2.226742,-384,-0.023438
2.278485,-288,-0.017578
2.330195,-340,-0.020752
2.381955,-384,-0.023438
2.433738,-484,-0.029541
2.485281,-316,-0.019287
2.537169,-348,-0.021240
2.589037,-396,-0.024170
2.640819,-416,-0.025391
2.692476,-448,-0.027344
2.744135,-444,-0.027100
2.795932,-444,-0.027100
2.847622,-380,-0.023193
2.899386,-416,-0.025391
2.951191,-448,-0.027344
3.003003,-332,-0.020264
3.054771,-300,-0.018311
3.106618,-396,-0.024170
3.158366,-316,-0.019287
3.210121,-372,-0.022705
3.262009,-452,-0.027588
3.313845,-412,-0.025146
3.365604,-368,-0.022461
3.417410,-416,-0.025391
3.469147,-452,-0.027588
3.521089,-1020,-0.062256
3.572597,-244,-0.014893
3.624429,-200,-0.012207
3.676117,-368,-0.022461
3.728001,-356,-0.021729
3.779776,2244,0.136963
3.831622,2232,0.136230
3.883245,-896,-0.054688
3.935068,-2740,-0.167236
3.986862,-1884,-0.114990
4.038716,-376,-0.022949
4.090456,-116,-0.007080
4.142294,-368,-0.022461
4.194055,-380,-0.023193
4.245840,-452,-0.027588
4.297567,336,0.020508
4.349360,2644,0.161377
4.401116,-248,-0.015137
4.452829,-2916,-0.177979
4.504409,-3328,-0.203125
4.556223,-1364,-0.083252
4.607915,-404,-0.024658
4.659287,-408,-0.024902
4.711106,-576,-0.035156
4.762896,-496,-0.030273
4.814799,-1208,-0.073730
4.866629,112,0.006836
4.918495,-120,-0.007324
4.970297,4520,0.275879
5.022088,-348,-0.021240
5.073902,-5304,-0.323730
5.125604,-1736,-0.105957
5.177599,-436,-0.026611
5.229481,-304,-0.018555
5.281268,-256,-0.015625
5.333035,-552,-0.033691
5.384717,-192,-0.011719
5.436542,-520,-0.031738
5.488281,-516,-0.031494
5.540029,-68,-0.004150
5.591529,132,0.008057
5.643356,6128,0.374023
5.694854,-3204,-0.195557
5.746602,-2052,-0.125244
5.798378,-312,-0.019043
5.850106,-340,-0.020752
5.901760,-356,-0.021729
5.953461,-336,-0.020508
6.005221,-220,-0.013428
6.057163,-256,-0.015625
6.109034,-220,-0.013428
6.160833,-312,-0.019043
6.212447,-960,-0.058594
6.264232,-5500,-0.335693
6.315910,-2140,-0.130615
6.367630,1136,0.069336
6.419444,2940,0.179443
6.471182,316,0.019287
6.522780,-316,-0.019287
6.574530,-260,-0.015869
6.626242,-420,-0.025635
6.677928,-284,-0.017334
6.729629,-284,-0.017334
6.781487,-5276,-0.322021
6.833306,-2744,-0.167480
6.885094,3340,0.203857
6.936865,4020,0.245361
6.988716,-212,-0.012939
7.040575,-308,-0.018799
7.092353,-108,-0.006592
7.144140,-412,-0.025146
7.195889,-388,-0.023682
7.247696,-408,-0.024902
7.299421,-1948,-0.118896
7.351204,-3356,-0.204834
7.402972,1256,0.076660
7.454740,4812,0.293701
7.506474,-580,-0.035400
7.558158,-332,-0.020264
7.609762,-688,-0.041992
7.661427,-408,-0.024902
7.713171,-344,-0.020996
7.764951,-508,-0.031006
7.816721,-356,-0.021729
7.868522,-352,-0.021484
7.920302,-68,-0.004150
7.971868,3052,0.186279
8.023434,5220,0.318604
8.075048,-7600,-0.463867
8.126904,-2340,-0.142822
8.178651,-1048,-0.063965
8.230417,-236,-0.014404
8.282097,-320,-0.019531
8.333929,-340,-0.020752
8.385633,-128,-0.007812
8.437425,3192,0.194824
8.489265,6116,0.373291
8.541102,-6612,-0.403564
8.592849,-4676,-0.285400
8.644552,236,0.014404
8.696303,-8,-0.000488
8.747976,-292,-0.017822
8.799798,-520,-0.031738
8.851634,-12,-0.000732
8.903564,-108,-0.006592
8.955353,7084,0.432373
9.007056,424,0.025879
9.058844,-7320,-0.446777
9.110631,-2976,-0.181641
9.162416,-2756,-0.168213
9.214210,36,0.002197
9.265963,-148,-0.009033
9.317724,-236,-0.014404
9.369430,-288,-0.017578
9.421343,-264,-0.016113
9.473143,-5976,-0.364746
9.524921,-5456,-0.333008
9.576739,3308,0.201904
9.628389,9572,0.584229
9.680148,172,0.010498
9.732053,-488,-0.029785
9.783838,-168,-0.010254
9.835695,-328,-0.020020
9.887526,-192,-0.011719
9.939346,-400,-0.024414
9.991132,-4520,-0.275879
10.042987,-7864,-0.479980
10.094749,-872,-0.053223
10.146485,4080,0.249023
10.198119,2556,0.156006
10.249867,-12884,-0.786377
10.301523,-472,-0.028809
10.353328,-452,-0.027588
10.405099,-264,-0.016113
10.456879,-416,-0.025391
10.508614,-248,-0.015137
10.560374,2448,0.149414
10.612095,1156,0.070557
10.663876,4372,0.266846
10.715656,1100,0.067139
10.767343,-1648,-0.100586
10.819095,-5748,-0.350830
10.870905,-3440,-0.209961
10.922562,-2720,-0.166016
10.974209,-240,-0.014648
11.025967,-336,-0.020508
11.077748,-380,-0.023193
11.129485,-292,-0.017822
